Source,Target,Weight,X,Y,Walk
BP10 Fajar,BP11 Segar,1,1.384520796,103.7708268,N
BP11 Segar,BP12 Jelapang,1,1.387772131,103.7696171,N
BP12 Jelapang,BP13 Senja,1,1.386703025,103.7645235,N
BP13 Senja,BP6 DT1 Bukit Panjang,1,1.382692296,103.7623879,N
BP2 South View,BP3 Keat Hong,1,1.380298287,103.7453173,N
BP3 Keat Hong,BP4 Teck Whye,1,1.378602766,103.7490799,N
BP4 Teck Whye,BP5 Phoenix,2,1.376684679,103.7537352,N
BP5 Phoenix,BP6 DT1 Bukit Panjang,1,1.378618844,103.7580559,N
BP6 DT1 Bukit Panjang,BP7 Petir,1,1.377909898,103.763034,N
BP7 Petir,BP8 Pending,1,1.377750334,103.7666882,N
BP8 Pending,BP9 Bangkit,1,1.376142883,103.7712881,N
BP9 Bangkit,BP10 Fajar,1,1.380017897,103.7726667,N
NE1 CC29 HarbourFront,EW16 NE3 TE17 Outram Park,3,1.26547264,103.821446,N
EW16 NE3 TE17 Outram Park,NE4 DT19 Chinatown,2,1.279764543,103.8395732,N
NE4 DT19 Chinatown,NE5 Clarke Quay,2,1.284359578,103.8434242,N
NE5 Clarke Quay,NS24 NE6 CC1 Dhoby Ghaut,2,1.288386024,103.8465519,N
NS24 NE6 CC1 Dhoby Ghaut,NE7 DT12 Little India,2,1.298701307,103.8461119,N
NE7 DT12 Little India,NE8 Farrer Park,2,1.307198223,103.8485807,N
NE8 Farrer Park,NE9 Boon Keng,2,1.31235984,103.8541717,N
NE9 Boon Keng,NE10 Potong Pasir,2,1.319395706,103.861679,N
NE10 Potong Pasir,NE11 Woodleigh,2,1.331379525,103.869046,N
NE11 Woodleigh,NE12 CC13 Serangoon,2,1.339190046,103.8708081,N
NE12 CC13 Serangoon,NE13 Kovan,3,1.349707875,103.8735637,N
NE13 Kovan,NE14 Hougang,2,1.360214,103.884864,N
NE14 Hougang,NE15 Buangkok,2,1.371292292,103.8923636,N
NE15 Buangkok,NE16 STC Sengkang,3,1.382877858,103.8931042,N
NE16 STC Sengkang,NE17 PTC Punggol,1,1.391694626,103.8954664,N
BP6 DT1 Bukit Panjang,DT2 Cashew,2,1.377909898,103.763034,N
DT2 Cashew,DT3 Hillview,2,1.369369831,103.764714,N
DT3 Hillview,DT5 Beauty World,4,1.362344869,103.7674369,N
DT5 Beauty World,DT6 King Albert Park,2,1.341223176,103.77581,N
DT6 King Albert Park,DT7 Sixth Avenue,2,1.335665121,103.7838201,N
DT7 Sixth Avenue,DT8 Tan Kah Kee,2,1.330786387,103.7972561,N
DT8 Tan Kah Kee,CC19 DT9 Botanic Gardens,2,1.325883209,103.8073292,N
CC19 DT9 Botanic Gardens,DT10 TE11 Stevens,2,1.322110193,103.8149876,N
DT10 TE11 Stevens,NS21 DT11 Newton,2,1.320065557,103.8260263,N
NS21 DT11 Newton,NE7 DT12 Little India,2,1.3123201,103.8379841,N
NE7 DT12 Little India,DT13 Rochor,1,1.307198223,103.8485807,N
DT13 Rochor,EW12 DT14 Bugis,2,1.302257124,103.8515449,N
EW12 DT14 Bugis,CC4 DT15 Promenade,2,1.300465076,103.8557007,N
CC4 DT15 Promenade,CE1 DT16 Bayfront,2,1.293218051,103.8609921,N
CE1 DT16 Bayfront,DT17 Downtown,2,1.281873788,103.8590733,N
DT17 Downtown,DT18 Telok Ayer,1,1.27944619,103.8528356,N
DT18 Telok Ayer,NE4 DT19 Chinatown,1,1.282289536,103.8482991,N
NE4 DT19 Chinatown,DT20 Fort Canning,2,1.284359578,103.8434242,N
DT20 Fort Canning,DT21 Bencoolen,2,1.292478928,103.8443255,N
DT21 Bencoolen,DT22 Jalan Besar,2,1.29886427,103.8503799,N
DT22 Jalan Besar,DT23 Bendemeer,2,1.305004,103.8553387,N
DT23 Bendemeer,DT24 Geylang Bahru,2,1.313672233,103.8629702,N
DT24 Geylang Bahru,DT25 Mattar,2,1.321505838,103.8718904,N
DT25 Mattar,CC10 DT26 MacPherson,2,1.326876715,103.8832341,N
